"scenario_id","mechanism","structure","true_beta3","method","attempted","successful","convergence_rate","mean_estimate","bias","absolute_bias","empirical_se","mean_model_se","model_to_empirical_se_ratio","rmse","coverage_95","rejection_rate_005","rejection_label","mean_ci_width","mcse_bias","mcse_coverage","mcse_rejection","minimum_estimate","maximum_estimate"
"VS_SH_N","VS","SH",0,"M11_combined_two_process_IIW_GEE",1000,1000,1,0.000795565677605103,0.000795565677605103,0.000795565677605103,0.0272951244184268,0.0269155647876657,0.986094233353087,0.027293070877931,0.943,0.057,"type_I_error",0.10550901396765,0.000863147621799077,0.00733150734842434,0.00733150734842433,-0.0884429302775779,0.0802494197395556
"VS_SH_N","VS","SH",0,"M12_oracle_combined_IIW_GEE",1000,1000,1,0.000783443088748182,0.000783443088748182,0.000783443088748182,0.0269936595364772,0.0269218849545349,0.997341057745608,0.0269915316458585,0.943,0.057,"type_I_error",0.105533789021777,0.000853614465183928,0.00733150734842434,0.00733150734842433,-0.0913026898129982,0.0837633950377794
"VS_SH_A","VS","SH",0.2,"M8_patient_clustered_GEE",1000,1000,1,0.202554987074125,0.0025549870741252,0.0025549870741252,0.0319128196410281,0.0315137339065361,0.987494500987966,0.0319990248028326,0.941,1,"power",0.123533836913621,0.00100917196623806,0.00745110730026082,0,0.0954999789236057,0.308774491188997
"VS_SH_A","VS","SH",0.2,"M9_single_process_IIW_GEE",1000,1000,1,0.197297953356018,-0.00270204664398207,0.00270204664398207,0.0273989061985832,0.0272315593393716,0.99389220657209,0.0275181833863382,0.952,1,"power",0.106747712610337,0.000866429489848287,0.00675988165576884,0,0.110562042613833,0.288414679414643
"VS_SH_A","VS","SH",0.2,"M10_separate_two_process_IIW_GEE",1000,1000,1,0.196573874911369,-0.00342612508863064,0.00342612508863064,0.027539348482633,0.0268846119615872,0.976225417189566,0.0277379817624858,0.947,1,"power",0.105387678889422,0.000870870664822223,0.00708456067798138,0,0.117053136721694,0.28316570214542
"VS_SH_A","VS","SH",0.2,"M11_combined_two_process_IIW_GEE",1000,1000,1,0.196681628590126,-0.00331837140987356,0.00331837140987356,0.0275233942826378,0.026852431171013,0.975622079721175,0.0277090469778116,0.946,1,"power",0.105261530190371,0.000870366148719917,0.00714730718522718,0,0.118793854212386,0.282854525853384
"VS_SH_A","VS","SH",0.2,"M12_oracle_combined_IIW_GEE",1000,1000,1,0.195479887764877,-0.0045201122351235,0.0045201122351235,0.0271812147992682,0.0268634352777435,0.988308855072466,0.0275410790301344,0.949,1,"power",0.105304666288755,0.00085954548335964,0.00695693898205238,0,0.117051405526739,0.28388116545599
"VD_B_N","VD","B",0,"M8_patient_clustered_GEE",1000,1000,1,-0.0537946409316541,-0.0537946409316541,0.0537946409316541,0.0333481718256812,0.0312766894158851,0.937883179305176,0.0632838988725935,0.586,0.414,"type_I_error",0.12260462251027,0.00105456178771808,0.0155757503832079,0.0155757503832079,-0.167166408534691,0.0419541816129346
"VD_B_N","VD","B",0,"M9_single_process_IIW_GEE",1000,1000,1,-0.0100218824044939,-0.0100218824044939,0.0100218824044939,0.0267135084189538,0.0268694496703914,1.00583754290122,0.0285190470992102,0.935,0.065,"type_I_error",0.105328242707934,0.000844755308979775,0.0077958322198467,0.00779583221984671,-0.0964227819597234,0.0727444083155052
"VD_B_N","VD","B",0,"M10_separate_two_process_IIW_GEE",1000,1000,1,-0.00962927299498552,-0.00962927299498552,0.00962927299498552,0.0268576663865777,0.0266177931337622,0.99106872319572,0.0285190428994546,0.935,0.065,"type_I_error",0.104341749084348,0.000849313984185299,0.0077958322198467,0.00779583221984671,-0.0967737614648768,0.0701694859081506
