"scenario_id","variant","attempted","mechanism","structure","true_beta3","successful","convergence_rate","mean_estimate","bias","absolute_bias","empirical_se","mean_model_se","model_to_empirical_se_ratio","rmse","coverage_95","rejection_rate_005","mcse_bias","mean_ess_fraction","minimum_ess_fraction","mean_raw_q99","maximum_raw_weight","mean_fraction_truncated"
"VD_B_N","untruncated",50,"VD","B",0,50,1,0.00225315696262246,0.00225315696262246,0.00225315696262246,0.0284418622146624,0.0275945859946993,0.970210241032448,0.0282460165689128,0.92,0.08,0.00402228672831224,0.727786361357537,0.689851217702622,3.01646639138361,23.2201882922344,0
"VD_B_A","frozen_trunc_1_99",50,"VD","B",0.2,50,1,0.188516211873793,-0.0114837881262074,0.0114837881262074,0.029120027231457,0.0269028375543898,0.923860315807942,0.0310305310294427,0.92,1,0.00411819374474004,0.765678189360246,0.727900357499709,3.55540513291644,25.7625231863611,0.0199778241429651
"VD_B_A","mild_trunc_0.5_99.5",50,"VD","B",0.2,50,1,0.193494159891966,-0.00650584010803406,0.00650584010803406,0.029752390022506,0.027206175887007,0.91441984547887,0.030163331601824,0.94,1,0.00420762334828419,0.749000414734383,0.710201737469599,3.55540513291644,25.7625231863611,0.00997909365560668
"VD_B_A","untruncated",50,"VD","B",0.2,50,1,0.203422866673067,0.00342286667306719,0.00342286667306719,0.0301960272000914,0.0280981679008741,0.930525320919997,0.0300878725362376,0.94,1,0.00427036311961562,0.715298716884196,0.66667895108357,3.55540513291644,25.7625231863611,0
"VD_SH_N","frozen_trunc_1_99",50,"VD","SH",0,50,1,-0.00309060134877395,-0.00309060134877395,0.00309060134877395,0.0249443520834213,0.0268988595543427,1.07835470989124,0.0248863035330981,0.98,0.02,0.00352766410209839,0.781925626354243,0.757916524862301,2.90177978529096,22.6177733191075,0.019975079403661
"VD_SH_N","mild_trunc_0.5_99.5",50,"VD","SH",0,50,1,-0.000761627980586174,-0.000761627980586174,0.000761627980586174,0.025001213507392,0.0271749578699795,1.0869455541406,0.0247616546395059,0.98,0.02,0.00353570552179391,0.768494570764445,0.744158026562869,2.90177978529096,22.6177733191075,0.00998068820040349
"VD_SH_N","untruncated",50,"VD","SH",0,50,1,0.00335000107182904,0.00335000107182904,0.00335000107182904,0.0254598368940956,0.0279095669080973,1.09621939151424,0.025425611810962,0.96,0.04,0.0036005646631437,0.739714381269982,0.706209855296581,2.90177978529096,22.6177733191075,0
"VD_SH_A","frozen_trunc_1_99",50,"VD","SH",0.2,50,1,0.188108966869411,-0.011891033130589,0.011891033130589,0.029673053312744,0.0264847121750158,0.892550958469821,0.0316903291234991,0.9,1,0.00419640344319025,0.779654405308984,0.750674754111082,3.39079353558324,22.5819070868543,0.0199828573436921
"VD_SH_A","mild_trunc_0.5_99.5",50,"VD","SH",0.2,50,1,0.192706766075806,-0.00729323392419385,0.00729323392419385,0.0300219109596544,0.0267447676042982,0.890841613654764,0.0306019622898441,0.92,1,0.00424573936475008,0.763902994028257,0.734914202614558,3.39079353558324,22.5819070868543,0.00997855074607807
"VD_SH_A","untruncated",50,"VD","SH",0.2,50,1,0.201998197652825,0.00199819765282518,0.00199819765282518,0.0308255189007008,0.0277117807464952,0.898988297188572,0.0305810587953928,0.92,1,0.00435938668965593,0.732336830330139,0.698929675396686,3.39079353558324,22.5819070868543,0
