"method","estimand","day","estimate","std_error","ci_lower","ci_upper","observed_mean_baseline_va"
"M8","marginal_VA_day_90",90,65.9430386538631,0.199981143590048,65.5510756124266,66.3350016952996,60.9800918836141
"M8","marginal_VA_day_180",180,66.4483643865074,0.238052276577935,65.9817819244147,66.9149468486002,60.9800918836141
"M8","marginal_VA_day_365",365,65.9924765469502,0.381400291353615,65.2449319758971,66.7400211180033,60.9800918836141
"M8","E1_PRIMARY_change_baseline_to_day365",365,5.01238466333609,0.381400291353615,4.264840092283,5.75992923438917,60.9800918836141
"M9","marginal_VA_day_90",90,65.9440023625384,0.200139575376722,65.5517287948,66.3362759302768,60.9800918836141
"M9","marginal_VA_day_180",180,66.4191775609096,0.240463381676076,65.9478693328245,66.8904857889948,60.9800918836141
"M9","marginal_VA_day_365",365,66.0872076275277,0.378545580021426,65.3452582906857,66.8291569643697,60.9800918836141
"M9","E1_PRIMARY_change_baseline_to_day365",365,5.10711574391359,0.378545580021426,4.36516640707159,5.84906508075559,60.9800918836141
"M10","marginal_VA_day_90",90,65.9803981868193,0.199856291843164,65.5886798548067,66.3721165188319,60.9800918836141
"M10","marginal_VA_day_180",180,66.4364886168232,0.241977017110795,65.962213663286,66.9107635703603,60.9800918836141
"M10","marginal_VA_day_365",365,66.1253068443688,0.381093754369978,65.3783630858036,66.8722506029339,60.9800918836141
"M10","E1_PRIMARY_change_baseline_to_day365",365,5.14521496075469,0.381093754369978,4.39827120218954,5.89215871931984,60.9800918836141
"M11","marginal_VA_day_90",90,65.9776161174895,0.200009431429971,65.5855976318868,66.3696346030923,60.9800918836141
"M11","marginal_VA_day_180",180,66.4344901487736,0.242662539466356,65.9588715714195,66.9101087261276,60.9800918836141
"M11","marginal_VA_day_365",365,66.1162422740125,0.380236449510346,65.3709788329722,66.8615057150528,60.9800918836141
"M11","E1_PRIMARY_change_baseline_to_day365",365,5.13615039039843,0.380236449510346,4.39088694935815,5.88141383143871,60.9800918836141
