"method","minimum","q01","median","q99","maximum","raw_q01","raw_q99","raw_maximum","mean","effective_sample_fraction","fraction_truncated","scenario_id","replicate","seed"
"M11_combined_two_process_IIW_GEE",0.214292608322577,0.214432818388841,0.842595371656278,3.34246525390155,3.34276442665211,0.213692775624297,3.33340759712145,8.43538870106465,0.999920530089997,0.727615187043977,0.01996378251844,"VS_B_N",1,20960001
"M12_oracle_combined_IIW_GEE",0.21571799584778,0.215821992888839,0.8463028355189,3.2903455997355,3.29392873371882,0.193286509417127,2.95140878120596,7.17634331743164,0.996714367884699,0.733882159150744,0.01996378251844,"VS_B_N",1,20960001
"M9_single_process_IIW_GEE",0.244908246124204,0.245001022631204,0.856268047195262,3.18518301791217,3.18527241086424,0.243899910487707,3.17215801502558,8.35875766633158,0.999880487735115,0.751511597452167,0.0199728439402567,"VS_B_N",2,20960002
"M10_separate_two_process_IIW_GEE",0.221786073566788,0.22203516441051,0.851346674938924,3.28066073760023,3.28217151342018,0.220020926877362,3.25604943060465,9.83537057354125,0.999768081275352,0.740099574590288,0.0199728439402567,"VS_B_N",2,20960002
"M11_combined_two_process_IIW_GEE",0.239350853186555,0.23954269712467,0.857894545741615,3.17565609832093,3.1784792134946,0.236931438670949,3.14635040073166,9.41507651927844,0.99970480663487,0.752796511259197,0.0199728439402567,"VS_B_N",2,20960002
"M12_oracle_combined_IIW_GEE",0.216792556168851,0.216812940117964,0.847004349995419,3.26319421325246,3.26527815491067,0.194549231851298,2.93025447019463,7.80778844776191,0.996694865212892,0.737768981794841,0.0199728439402567,"VS_B_N",2,20960002
"M9_single_process_IIW_GEE",0.237422468763711,0.237462350898148,0.86390312030575,3.10311052348323,3.10437781863607,0.236771158827639,3.09586172439644,7.26100990627532,0.999927891355105,0.757942485096336,0.0199835429646174,"VS_B_A",1,21060001
"M10_separate_two_process_IIW_GEE",0.209980654918147,0.21003395804937,0.861266652318876,3.27780438530192,3.27846267773335,0.207682289590259,3.24257791991976,9.13134411616208,0.999709899799685,0.74144438598794,0.0199835429646174,"VS_B_A",1,21060001
"M11_combined_two_process_IIW_GEE",0.22363437362419,0.223664484855683,0.869177620278797,3.19720280147113,3.20012520587416,0.221251542177407,3.16602776883609,9.13134411616208,0.99971768402952,0.75325451297695,0.0199835429646174,"VS_B_A",1,21060001
"M12_oracle_combined_IIW_GEE",0.207992249180844,0.208087896062014,0.861058275888377,3.15399541409061,3.16085393606119,0.190624615736379,2.89691836755222,9.13382811268814,0.997611693319284,0.745648503666493,0.0199835429646174,"VS_B_A",1,21060001
"M9_single_process_IIW_GEE",0.238952809540475,0.239053527119694,0.856165093264931,3.19977790920731,3.20083545491105,0.237459948699915,3.18083819303786,8.79844992657537,0.999827846520183,0.747067948100566,0.0199594320486815,"VS_B_A",2,21060002
"M10_separate_two_process_IIW_GEE",0.210445433198284,0.210605035417882,0.835365554671615,3.49505203362469,3.49563174326543,0.208275880113942,3.45959409438387,11.5168537231268,0.999714754926947,0.715284814118538,0.0199594320486815,"VS_B_A",2,21060002
"M11_combined_two_process_IIW_GEE",0.220415530672692,0.220883798673803,0.841161634346672,3.39405701538908,3.39604326529915,0.218081093622627,3.36007552201925,11.5168537231268,0.999706876255318,0.725279436205189,0.0199594320486815,"VS_B_A",2,21060002
"M12_oracle_combined_IIW_GEE",0.217497745057889,0.217506496555111,0.842253161745349,3.33783833338674,3.33914793109183,0.202816367919897,3.11375115705698,10.0832220330028,0.998017785524842,0.729217759436826,0.0199594320486815,"VS_B_A",2,21060002
"M9_single_process_IIW_GEE",0.258965159176502,0.259012692515046,0.875016184285707,3.00602776445999,3.00662424412937,0.257701510426558,2.99195309307674,9.85205579554127,0.999858537384694,0.776103210332574,0.0199623517051175,"VS_SH_N",1,21160001
"M10_separate_two_process_IIW_GEE",0.218826393538757,0.218862292169061,0.845483888496393,3.34923821181989,3.36149285145788,0.216730321568473,3.32929412611079,11.0615016170471,0.999720990629098,0.729940955602532,0.0199623517051175,"VS_SH_N",1,21160001
"M11_combined_two_process_IIW_GEE",0.221074352957188,0.221083011886131,0.850894345555395,3.28038228902536,3.28290076040764,0.218892166104634,3.25049581256193,11.0615016170471,0.999712396616656,0.738175729074687,0.0199623517051175,"VS_SH_N",1,21160001
"M12_oracle_combined_IIW_GEE",0.220233086328155,0.220423411205519,0.864536861164632,3.15851180231734,3.1627343199077,0.201281965213917,2.89058011207255,10.7197915815489,0.997283796415772,0.756269930674869,0.0199623517051175,"VS_SH_N",1,21160001
"M9_single_process_IIW_GEE",0.25047956494283,0.250606749165084,0.878027009794768,2.94407021934107,2.9461687847339,0.248968064373192,2.92839034521372,8.0491942317703,0.999823463318787,0.776631330805145,0.0199668672072543,"VS_SH_N",2,21160002
"M10_separate_two_process_IIW_GEE",0.221033420842632,0.221216725088775,0.863676807530732,3.20446590522277,3.20600261131284,0.219428083642555,3.18271782824311,9.38664054599494,0.999787262356192,0.748426169691556,0.0199668672072543,"VS_SH_N",2,21160002
"M11_combined_two_process_IIW_GEE",0.228137630691955,0.22843512645027,0.865138974901869,3.16127765154038,3.16144853842505,0.226481685133049,3.13850104549705,8.89200376825359,0.999787390212925,0.754432066640841,0.0199232714273258,"VS_SH_N",2,21160002
"M12_oracle_combined_IIW_GEE",0.21289120432998,0.212963328804562,0.857314026332047,3.17505567294517,3.17709744575708,0.191268972697551,2.85441649185313,8.18385318178807,0.996712798883738,0.748687731031081,0.0199668672072543,"VS_SH_N",2,21160002
"M9_single_process_IIW_GEE",0.261181464250796,0.26120723966625,0.885652485883306,2.86459142895251,2.86649756503118,0.260020537328789,2.85375625429285,6.86917604045471,0.999877480903329,0.784172953188463,0.0200024796462371,"VS_SH_A",1,21260001
"M10_separate_two_process_IIW_GEE",0.225423540445331,0.225521123339191,0.868225451543713,3.10172362760788,3.10513084672911,0.223905369292913,3.08421856726321,7.3586151577631,0.999813935816441,0.754567579619565,0.0200024796462371,"VS_SH_A",1,21260001
"M11_combined_two_process_IIW_GEE",0.230595737566392,0.230784381662641,0.871353306435624,3.07030620295184,3.07072519142163,0.228967668924259,3.04904503616152,7.3586151577631,0.999804878509994,0.76014510261557,0.0200024796462371,"VS_SH_A",1,21260001
"M12_oracle_combined_IIW_GEE",0.227946590002535,0.228055167264176,0.874879461315813,3.02625895390985,3.02712744794252,0.21754718306229,2.88902347283682,6.63317060245983,0.998688218010908,0.76257723927429,0.0200024796462371,"VS_SH_A",1,21260001
"M9_single_process_IIW_GEE",0.267436113338112,0.267688355702245,0.883668074383717,2.92688764767533,2.92729996817957,0.266344671244241,2.91535327045509,7.70067932403428,0.999886844903444,0.785386579431031,0.0200281246005028,"VS_SH_A",2,21260002
"M10_separate_two_process_IIW_GEE",0.237723351565426,0.237811989409157,0.874084751509539,3.01285730258379,3.01637219092232,0.235236508608502,2.98481768065205,9.71340933378917,0.999708081870077,0.772084489981907,0.0200281246005028,"VS_SH_A",2,21260002
"M11_combined_two_process_IIW_GEE",0.249181162829403,0.249250555083472,0.877345470471916,2.96129268098106,2.96142599787295,0.246772237637917,2.93279681255254,9.71340933378917,0.999730446828054,0.778254194715356,0.0200281246005028,"VS_SH_A",2,21260002
"M12_oracle_combined_IIW_GEE",0.230109007173462,0.230195222949667,0.855186834911199,3.22666131161914,3.22678156442359,0.223138015353727,3.12902846833243,11.8322325772748,0.999137342426203,0.747847170790631,0.0200281246005028,"VS_SH_A",2,21260002
