"scenario_id","method","attempted","minimum_ess_fraction","mean_ess_fraction","maximum_raw_q99","mean_raw_q99","maximum_raw_weight","mean_fraction_truncated"
"VD_B_A","M10_separate_two_process_IIW_GEE",2,0.766414786452726,0.768675467245937,3.41954435742793,3.40081995052367,15.0374205398309,0.0199663248507271
"VD_B_A","M11_combined_two_process_IIW_GEE",2,0.773419172920193,0.776094883915328,3.37397052351044,3.33934702127797,15.0374205398309,0.0199663248507271
"VD_B_A","M12_oracle_combined_IIW_GEE",2,0.761580024717753,0.764396691834797,3.58439019261257,3.57591573100447,15.9209562621729,0.0199663248507271
"VD_B_A","M9_single_process_IIW_GEE",2,0.790971980177766,0.792581822172369,3.24643893411058,3.23368538833501,10.6286779414301,0.0199663248507271
"VD_B_N","M10_separate_two_process_IIW_GEE",2,0.760371930528201,0.769006857949498,3.43842943528857,3.42719344180066,18.179404725155,0.0199433001527902
"VD_B_N","M11_combined_two_process_IIW_GEE",2,0.768517739303436,0.777342501616479,3.36164187327353,3.34180121545131,18.179404725155,0.0199648203387246
"VD_B_N","M12_oracle_combined_IIW_GEE",2,0.782297842813393,0.788465344001947,2.99087669113078,2.96620174687348,14.7898187761708,0.0199648203387246
"VD_B_N","M9_single_process_IIW_GEE",2,0.793229037142147,0.801915673586166,3.11396838295268,3.1063622302718,13.0232061503955,0.0199648203387246
"VD_SH_A","M10_separate_two_process_IIW_GEE",2,0.779090095148523,0.796394539090848,3.37573158103172,3.24325867020838,14.1919562147565,0.0199869959845732
"VD_SH_A","M11_combined_two_process_IIW_GEE",2,0.784035957862422,0.802380942806083,3.33098138431526,3.17869100582184,14.1919562147565,0.0199869959845732
"VD_SH_A","M12_oracle_combined_IIW_GEE",2,0.778517559079599,0.787379038484365,3.3458821872201,3.25483913460946,15.2249282780475,0.0199869959845732
"VD_SH_A","M9_single_process_IIW_GEE",2,0.819657384399153,0.819970501131147,3.03172361861825,2.96778363716847,16.8918023005109,0.0199869959845732
"VD_SH_N","M10_separate_two_process_IIW_GEE",2,0.763717940326834,0.764172585898525,3.37978771829104,3.3769479395362,17.7687658214532,0.0199601739194393
"VD_SH_N","M11_combined_two_process_IIW_GEE",2,0.769129377308133,0.7697300897707,3.33859158526969,3.33516128192116,17.7687658214532,0.0199816221006336
"VD_SH_N","M12_oracle_combined_IIW_GEE",2,0.77786710012603,0.784920729827792,2.92532966372867,2.91980748995127,16.5578689345408,0.0199816221006336
"VD_SH_N","M9_single_process_IIW_GEE",2,0.786301377048835,0.799230520367686,3.20684694336818,3.10732762969507,12.3734668740116,0.0199816221006336
"VS_B_A","M10_separate_two_process_IIW_GEE",2,0.715284814118538,0.728364600053239,3.45959409438387,3.35108600715182,11.5168537231268,0.0199714875066495
"VS_B_A","M11_combined_two_process_IIW_GEE",2,0.725279436205189,0.73926697459107,3.36007552201925,3.26305164542767,11.5168537231268,0.0199714875066495
"VS_B_A","M12_oracle_combined_IIW_GEE",2,0.729217759436826,0.737433131551659,3.11375115705698,3.0053347623046,10.0832220330028,0.0199714875066495
"VS_B_A","M9_single_process_IIW_GEE",2,0.747067948100566,0.752505216598451,3.18083819303786,3.13834995871715,8.79844992657537,0.0199714875066495
"VS_B_N","M10_separate_two_process_IIW_GEE",2,0.719768007155998,0.729933790873143,3.38831182007617,3.32218062534041,9.83537057354125,0.0199683132293483
"VS_B_N","M11_combined_two_process_IIW_GEE",2,0.727615187043977,0.740205849151587,3.33340759712145,3.23987899892656,9.41507651927844,0.0199683132293483
"VS_B_N","M12_oracle_combined_IIW_GEE",2,0.733882159150744,0.735825570472792,2.95140878120596,2.94083162570029,7.80778844776191,0.0199683132293483
"VS_B_N","M9_single_process_IIW_GEE",2,0.751511597452167,0.75178649557269,3.18461562905784,3.17838682204171,10.2769767691614,0.0199683132293483
"VS_SH_A","M10_separate_two_process_IIW_GEE",2,0.754567579619565,0.763326034800736,3.08421856726321,3.03451812395763,9.71340933378917,0.02001530212337
"VS_SH_A","M11_combined_two_process_IIW_GEE",2,0.76014510261557,0.769199648665463,3.04904503616152,2.99092092435703,9.71340933378917,0.02001530212337
"VS_SH_A","M12_oracle_combined_IIW_GEE",2,0.747847170790631,0.75521220503246,3.12902846833243,3.00902597058462,11.8322325772748,0.02001530212337
"VS_SH_A","M9_single_process_IIW_GEE",2,0.784172953188463,0.784779766309747,2.91535327045509,2.88455476237397,7.70067932403428,0.02001530212337
"VS_SH_N","M10_separate_two_process_IIW_GEE",2,0.729940955602532,0.739183562647044,3.32929412611079,3.25600597717695,11.0615016170471,0.0199646094561859
"VS_SH_N","M11_combined_two_process_IIW_GEE",2,0.738175729074687,0.746303897857764,3.25049581256193,3.19449842902949,11.0615016170471,0.0199428115662217
"VS_SH_N","M12_oracle_combined_IIW_GEE",2,0.748687731031081,0.752478830852975,2.89058011207255,2.87249830196284,10.7197915815489,0.0199646094561859
"VS_SH_N","M9_single_process_IIW_GEE",2,0.776103210332574,0.776367270568859,2.99195309307674,2.96017171914523,9.85205579554127,0.0199646094561859
