"visits_per_eye_year","group0_visits_per_eye_year","group1_visits_per_eye_year","group0_daily_visit_rate","group1_daily_visit_rate","group0_history_log_rate_ratio","group1_history_log_rate_ratio","differential_history_log_rate_ratio","hybrid_shared_event_fraction","shared_only_proportion","duplicate_eye_days","baseline_coverage","all_oracle_weights_finite","raw_weight_q99","raw_weight_maximum","truncated_ess_fraction","fraction_truncated","scenario_id","replicate","seed"
11.9006986027944,11.3025048169557,12.5434782608696,0.0309657666217964,0.0343656938653961,0.662885359167306,1.44851205452484,0.785626695357534,0.0563325563325563,0.529761904761905,0,1,TRUE,2.93996358700925,13.9269472389751,0.782341166493939,0.0200427690888507,"VD_B_N",1,20560001
11.4906033630069,11.4122807017544,11.5918367346939,0.03126652247056,0.0317584568073805,0.585873805980852,1.56884710401604,0.982973298035189,0.0473361796918507,0.522988505747126,0,1,TRUE,2.98763018135314,14.7898187761708,0.794723762461831,0.0200568132908668,"VD_B_N",2,20560002
11.9467275494673,12.8497354497354,11.1150097465887,0.0352047546568095,0.0304520814975033,0.615048676150046,1.55939504427451,0.944346368124463,0.0568832707880703,0.528662420382166,0,1,TRUE,3.56696760247086,15.9209562621729,0.761593088028023,0.0200450163502782,"VD_B_A",1,20660001
11.6253114100648,12.3323383084577,10.9161676646707,0.0337872282423499,0.0299073086703306,0.587024426077086,1.58880741410448,1.0017829880274,0.0554810593362387,0.473372781065089,0,1,TRUE,3.57863343962079,12.9593904547111,0.767370992158013,0.0200582890450883,"VD_B_A",2,20660002
11.7737373737374,11.1632653061224,12.4342797055731,0.0305842885099245,0.0340665197412961,0.619562041719811,1.51157006131735,0.89200801959754,0.286867828304292,0.46875,0,1,TRUE,2.90846998283041,16.5578689345408,0.778021304080587,0.0200754975978037,"VD_SH_N",1,20760001
11.5880316518299,11.3294908741595,11.8623853211009,0.0310397010250944,0.0324996858112354,0.577071578260419,1.37744892502637,0.80037734676595,0.293518518518519,0.511494252873563,0,1,TRUE,2.92197896547929,8.42393640936124,0.79206153865943,0.0200588963339166,"VD_SH_N",2,20760002
12.310009718173,13.099173553719,11.4231166150671,0.0358881467225178,0.0312962099042934,0.535154670042486,1.48716805147495,0.952013381432465,0.291050295857988,0.510752688172043,0,1,TRUE,3.15994078180157,11.1441824035245,0.796348969320338,0.0200521038920028,"VD_SH_A",1,20860001
12.3261427837699,13.0255623721881,11.6202270381837,0.0356864722525702,0.0318362384607772,0.646255261112938,1.45355246228397,0.807297201171035,0.28714173021299,0.557046979865772,0,1,TRUE,3.33332621475523,15.2249282780475,0.778857984638722,0.020000833368057,"VD_SH_A",2,20860002
11.7737909516381,11.9243781094527,11.6089324618736,0.0326695290669938,0.0318052944160922,1.23599183808956,1.2953349495478,0.0593431114582423,0.0545494699646643,0.524822695035461,0,1,TRUE,2.94819824025091,7.17634331743164,0.733958731286499,0.0200521178393181,"VS_B_N",1,20960001
11.5308080808081,11.5004859086492,11.5636172450053,0.0315081805716416,0.0316811431370007,1.25883352971826,1.26148991251361,0.0026563827953523,0.05118237771299,0.44375,0,1,TRUE,2.92838434487303,7.80778844776191,0.737812994332281,0.0200604441329771,"VS_B_N",2,20960002
12.7159940209268,13.6353861192571,11.760162601626,0.03735722224454,0.0322196235660987,1.25373194358968,1.20622843646259,-0.0475035071270895,0.0550407188991856,0.437869822485207,0,1,TRUE,2.89063254142019,9.13382811268814,0.745789149994122,0.0200619097997727,"VS_B_A",1,21060001
12.1728395061728,13.1180952380952,11.1548717948718,0.0359399869536856,0.0305612925886899,1.29716661768589,1.26249551398354,-0.0346711037023519,0.0487687879756956,0.491428571428571,0,1,TRUE,3.11252995887899,10.0832220330028,0.729245424664825,0.0200405679513185,"VS_B_A",2,21060002
11.5543753161356,11.4851282051282,11.6217564870259,0.0314661046715841,0.0318404287315779,1.25449222945051,1.13060783592284,-0.123884393527663,0.287502845435921,0.446540880503145,0,1,TRUE,2.88672094334859,10.7197915815489,0.756361961660463,0.0200499058792628,"VS_SH_N",1,21160001
11.4632683658171,11.5536231884058,11.3664596273292,0.0316537621600159,0.031140985280354,1.2621174776268,1.13040475766583,-0.131712719960973,0.273829735629396,0.562874251497006,0,1,TRUE,2.85258209108751,8.18385318178807,0.748731148906996,0.0200540587671113,"VS_SH_N",2,21160002
12.1470883534137,12.465641025641,11.8416912487709,0.0341524411661398,0.03244298972266,1.20966721382407,1.12416801186679,-0.0854992019572753,0.291278943951526,0.49390243902439,0,1,TRUE,2.88820987702065,6.63317060245983,0.762595655877606,0.0200024796462371,"VS_SH_A",1,21260001
12.0715020576132,13.0428849902534,10.9858387799564,0.0357339314801463,0.0300981884382368,1.12457294668762,1.21624313785731,0.0916701911696893,0.29666430092264,0.5,0,1,TRUE,3.12891226166875,11.8322325772748,0.747850779237113,0.0200281246005028,"VS_SH_A",2,21260002
