"scenario_id","mechanism","structure","true_beta3","method","attempted","successful","convergence_rate","mean_estimate","bias","relative_bias_percent","empirical_se","mean_model_se","model_to_empirical_se_ratio","rmse","coverage_95","rejection_rate_005","rejection_label","mean_ci_width","mcse_bias","mcse_coverage","mcse_rejection","minimum_estimate","maximum_estimate"
"VD_SH_A","VD","SH",0.2,"M10_separate_two_process_IIW_GEE",2,2,1,0.1724189452101,-0.0275810547898996,-13.7905273949498,0.0544001521742167,0.0260957844685622,0.479700578501883,0.0473328940760272,0.5,1,"power",0.102295475116764,0.0384667164999688,0.353553390593274,0,0.133952228710132,0.210885661710069
"VD_SH_A","VD","SH",0.2,"M11_combined_two_process_IIW_GEE",2,2,1,0.17272683012608,-0.0272731698739201,-13.63658493696,0.0547472406758551,0.0260142129731976,0.475169390311766,0.0473545771365525,0.5,1,"power",0.101975714854934,0.0387121451331491,0.353553390593274,0,0.134014684992931,0.211438975259229
"VD_SH_A","VD","SH",0.2,"M12_oracle_combined_IIW_GEE",2,2,1,0.169277154625383,-0.0307228453746172,-15.3614226873086,0.050664322477391,0.0259813249932538,0.512813035343521,0.047194597296292,0.5,1,"power",0.101846793973555,0.0358250859879852,0.353553390593274,0,0.133452068637398,0.205102240613368
"VD_SH_A","VD","SH",0.2,"M8_patient_clustered_GEE",2,2,1,0.118826127870568,-0.0811738721294323,-40.5869360647161,0.0330531603178673,0.0319013558398277,0.965152969732307,0.0844716119177605,0.5,1,"power",0.125053314892124,0.0233721138004101,0.353553390593274,0,0.0954540140701577,0.142198241670978
"VD_SH_A","VD","SH",0.2,"M9_single_process_IIW_GEE",2,2,1,0.169315607085034,-0.0306843929149661,-15.342196457483,0.0431065187353247,0.0266279027904071,0.617723341425532,0.0432506410044923,0.5,1,"power",0.104381378938396,0.0304809117110931,0.353553390593274,0,0.138834695373941,0.199796518796127
"VD_SH_N","VD","SH",0,"M10_separate_two_process_IIW_GEE",2,2,1,-0.00285096641566339,-0.00285096641566339,NA,0.016603859447821,0.027093481003042,1.63175803120868,0.0120818907371627,1,0,"type_I_error",0.106206445531925,0.0117407016094225,0,0,-0.0145916680250859,0.00888973519375916
"VD_SH_N","VD","SH",0,"M11_combined_two_process_IIW_GEE",2,2,1,-0.001500280316317,-0.001500280316317,NA,0.0137300527360443,0.0271001602740572,1.97378413579676,0.00982384930130786,1,0,"type_I_error",0.106232628274304,0.00970861339570583,0,0,-0.0112088937120228,0.00820833307938883
"VD_SH_N","VD","SH",0,"M12_oracle_combined_IIW_GEE",2,2,1,0.00388006201527221,0.00388006201527221,NA,0.0133314318279469,0.0270488036473408,2.02894962794904,0.0101940383820131,1,0,"type_I_error",0.106031310297576,0.0094267458484674,0,0,-0.00554668383319519,0.0133068078637396
"VD_SH_N","VD","SH",0,"M8_patient_clustered_GEE",2,2,1,-0.0306950718872368,-0.0306950718872368,NA,0.0275165680890496,0.0329198675695773,1.19636531209275,0.0363423746866146,1,0,"type_I_error",0.129045880872743,0.0194571518907483,0,0,-0.0501522237779851,-0.0112379199964885
"VD_SH_N","VD","SH",0,"M9_single_process_IIW_GEE",2,2,1,-0.00194630183552532,-0.00194630183552532,NA,0.0185184218922287,0.0275502968394213,1.48772379200318,0.0132383558467152,1,0,"type_I_error",0.107997163610532,0.0130945016968684,0,0,-0.0150408035323937,0.011148199861343
