"model","converged","n_risk_rows","expected_interaction","interaction_rule_pass","formula","scenario_id","replicate","seed"
"M10_M11_eye_denominator",TRUE,539972,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VD_SH_A",1,20860001
"M10_M11_eye_numerator",TRUE,539972,"",TRUE,"eye_event ~ group + time + I(time^2)","VD_SH_A",1,20860001
"M10_M11_shared_denominator",TRUE,203670,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VD_SH_A",1,20860001
"M10_M11_shared_numerator",TRUE,203670,"",TRUE,"shared_event ~ group + time + I(time^2)","VD_SH_A",1,20860001
"M9_denominator",TRUE,710655,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VD_SH_A",2,20860002
"M9_numerator",TRUE,710655,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VD_SH_A",2,20860002
"M10_M11_eye_denominator",TRUE,526701,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VD_SH_A",2,20860002
"M10_M11_eye_numerator",TRUE,526701,"",TRUE,"eye_event ~ group + time + I(time^2)","VD_SH_A",2,20860002
"M10_M11_shared_denominator",TRUE,163155,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VD_SH_A",2,20860002
"M10_M11_shared_numerator",TRUE,163155,"",TRUE,"shared_event ~ group + time + I(time^2)","VD_SH_A",2,20860002
"M9_denominator",TRUE,701895,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",1,20960001
"M9_numerator",TRUE,701895,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",1,20960001
"M10_M11_eye_denominator",TRUE,539341,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",1,20960001
"M10_M11_eye_numerator",TRUE,539341,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",1,20960001
"M10_M11_shared_denominator",TRUE,154395,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",1,20960001
"M10_M11_shared_numerator",TRUE,154395,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",1,20960001
"M9_denominator",TRUE,722700,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",2,20960002
"M9_numerator",TRUE,722700,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",2,20960002
"M10_M11_eye_denominator",TRUE,566578,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",2,20960002
"M10_M11_eye_numerator",TRUE,566578,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",2,20960002
"M10_M11_shared_denominator",TRUE,175200,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",2,20960002
"M10_M11_shared_numerator",TRUE,175200,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",2,20960002
"M9_denominator",TRUE,732555,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_A",1,21060001
"M9_numerator",TRUE,732555,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_A",1,21060001
"M10_M11_eye_denominator",TRUE,569711,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_A",1,21060001
"M10_M11_eye_numerator",TRUE,569711,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_A",1,21060001
"M10_M11_shared_denominator",TRUE,185055,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_A",1,21060001
"M10_M11_shared_numerator",TRUE,185055,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_A",1,21060001
"M9_denominator",TRUE,739125,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_A",2,21060002
"M9_numerator",TRUE,739125,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_A",2,21060002
"M10_M11_eye_denominator",TRUE,550175,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_A",2,21060002
"M10_M11_eye_numerator",TRUE,550175,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_A",2,21060002
"M10_M11_shared_denominator",TRUE,191625,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_A",2,21060002
"M10_M11_shared_numerator",TRUE,191625,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_A",2,21060002
"M9_denominator",TRUE,721605,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_SH_N",1,21160001
