"method","minimum","q01","median","q99","maximum","raw_q01","raw_q99","raw_maximum","mean","effective_sample_fraction","fraction_truncated","scenario_id","replicate","seed"
"M9_single_process_IIW_GEE",0.210975187753685,0.211233656729178,0.910632123214353,3.12600182634696,3.12717180805971,0.210084416391598,3.11396838295268,11.1528103640992,0.999881237673531,0.793229037142147,0.0199589081303199,"VD_B_N",1,20560001
"M10_separate_two_process_IIW_GEE",0.172788014201271,0.172834077055172,0.898350085821286,3.46727385409729,3.46862488431449,0.171283841265565,3.43842943528857,16.5609350005039,0.999754026871383,0.760371930528201,0.0199589081303199,"VD_B_N",1,20560001
"M11_combined_two_process_IIW_GEE",0.178458830163715,0.17870568851985,0.902826887490457,3.38810437843624,3.39082667708142,0.176922837191465,3.36164187327353,16.5609350005039,0.999756829088726,0.768517739303436,0.0199589081303199,"VD_B_N",1,20560001
"M12_oracle_combined_IIW_GEE",0.169790140563051,0.169908884278916,0.917722931867629,3.24001059038922,3.2417333447607,0.154066419464569,2.94152680261618,13.9269472389751,0.997141398408499,0.782297842813393,0.0199589081303199,"VD_B_N",1,20560001
"M9_single_process_IIW_GEE",0.217259671891101,0.217475550398281,0.934845979529348,3.13109183244426,3.13484193917431,0.21475874757031,3.09875607759091,13.0232061503955,0.999662179812295,0.810602310030184,0.0199707325471292,"VD_B_N",2,20560002
"M10_separate_two_process_IIW_GEE",0.188811450434032,0.188840784465242,0.920900569967806,3.44624848286013,3.45168835904774,0.186856927203823,3.41595744831276,18.179404725155,0.99969656369216,0.777641785370796,0.0199276921752604,"VD_B_N",2,20560002
"M11_combined_two_process_IIW_GEE",0.19490390908268,0.194969499530804,0.924781923293942,3.36048115630085,3.36357853561684,0.192492338634113,3.32196055762909,18.179404725155,0.999636568625998,0.786167263929522,0.0199707325471292,"VD_B_N",2,20560002
"M12_oracle_combined_IIW_GEE",0.188139565546403,0.188384969355907,0.930395134160675,3.22409752962668,3.22760099676238,0.17434070749038,2.99087669113078,14.7898187761708,0.997703955744501,0.794632845190502,0.0199707325471292,"VD_B_N",2,20560002
"M9_single_process_IIW_GEE",0.189146915941886,0.189355509071605,0.908214313028917,3.50013784499383,3.50142115626858,0.187437490589132,3.46977687560247,11.5409640586109,0.999752395593818,0.762102700831488,0.0199676413716901,"VD_B_N",3,20560003
"M10_separate_two_process_IIW_GEE",0.163050230286374,0.163175724596928,0.876804263029381,3.85736576029694,3.8617661590919,0.160627940155609,3.80439538422052,13.5003118436526,0.999590579335413,0.715281143301292,0.0199676413716901,"VD_B_N",3,20560003
"M11_combined_two_process_IIW_GEE",0.167207676306917,0.167222945747699,0.878366671523842,3.74064958416939,3.74104444784784,0.164949031290713,3.69051033611232,14.5842760383189,0.999628239794438,0.723630692122915,0.0199676413716901,"VD_B_N",3,20560003
"M12_oracle_combined_IIW_GEE",0.154642574603129,0.15466158384334,0.925067339930797,3.36450345942106,3.36883351258607,0.135159177063776,2.94439462350227,10.1134763429638,0.996086333251155,0.760011479779677,0.0199676413716901,"VD_B_N",3,20560003
"M9_single_process_IIW_GEE",0.182087399481033,0.182347276774926,0.909126945612625,3.51410117045064,3.51555738681627,0.180187746857056,3.47888083570049,11.6236529074111,0.999696397538059,0.763174530250323,0.0200256739409499,"VD_B_N",4,20560004
"M10_separate_two_process_IIW_GEE",0.160018427386165,0.160018971883734,0.898502570198208,3.65709615828012,3.66283188681056,0.158221932408109,3.62171000355247,15.2177377689711,0.999673024151852,0.73985344879472,0.0200256739409499,"VD_B_N",4,20560004
"M11_combined_two_process_IIW_GEE",0.166317945720354,0.166514694519412,0.904543190605475,3.52328732776497,3.52655532835629,0.164344284628174,3.48470641655754,13.1756080215758,0.99965416071372,0.749942718741799,0.0200256739409499,"VD_B_N",4,20560004
"M12_oracle_combined_IIW_GEE",0.154728512202597,0.15487974226978,0.917677100464076,3.39544818013473,3.40646026715077,0.141921124700094,3.12449635479729,10.9866262858712,0.997401217955764,0.75939176766813,0.0200256739409499,"VD_B_N",4,20560004
"M9_single_process_IIW_GEE",0.21370450288952,0.213872020706702,0.911229091257276,3.13528917017328,3.1379290046532,0.212054542001058,3.11370181215869,8.24528624116311,0.999769957384441,0.789184044662802,0.019980199801998,"VD_B_N",5,20560005
"M10_separate_two_process_IIW_GEE",0.16646842609887,0.166537454495927,0.894233111562588,3.56796679422591,3.56822273605049,0.164866826116465,3.53389270959923,11.6240547628357,0.999712787720168,0.742563250535106,0.0199351993519935,"VD_B_N",5,20560005
"M11_combined_two_process_IIW_GEE",0.171417159767186,0.171449013862458,0.899600291769308,3.45539981400329,3.45883373561626,0.170665269933436,3.44366219779604,11.6240547628357,0.999869745934589,0.751568611313867,0.019980199801998,"VD_B_N",5,20560005
"M12_oracle_combined_IIW_GEE",0.189610317638563,0.189924481404811,0.903599790546116,3.4474327056646,3.45410221034222,0.180180631044206,3.28232304919715,12.3942111503365,0.998452711201747,0.761240107924031,0.019980199801998,"VD_B_N",5,20560005
"M9_single_process_IIW_GEE",0.178906808016444,0.179276729498273,0.911993175377229,3.4157752268629,3.41930102200077,0.17745415170348,3.39153757760979,19.3835874178321,0.999768895515656,0.770557572074586,0.0200240632519766,"VD_B_N",6,20560006
"M10_separate_two_process_IIW_GEE",0.164529490120533,0.164828931095691,0.902720658736682,3.42356871325223,3.42988459269662,0.162929280359322,3.39652561977913,15.2715436491274,0.999722725815088,0.759108268639586,0.0200240632519766,"VD_B_N",6,20560006
"M11_combined_two_process_IIW_GEE",0.173841620578899,0.174187172900271,0.905488799508279,3.35697356805897,3.36220794366161,0.171992131253205,3.32643763916343,15.2715436491274,0.999696418772729,0.766835649026535,0.0200240632519766,"VD_B_N",6,20560006
"M12_oracle_combined_IIW_GEE",0.159469053554797,0.159632593841395,0.91819314263458,3.20914651044107,3.21053075527696,0.144746591245133,2.91412893319968,12.1021105445892,0.997128533410186,0.774283510934521,0.0200240632519766,"VD_B_N",6,20560006
"M9_single_process_IIW_GEE",0.210823881606615,0.211121883059064,0.910799369401117,3.31764598065573,3.32141090580093,0.208909100573549,3.29124461459625,10.1512472300414,0.99974636025389,0.779562995499683,0.0199522880069399,"VD_B_N",7,20560007
"M10_separate_two_process_IIW_GEE",0.184258647806901,0.184453843796454,0.898650351097731,3.42773016608022,3.43027987503443,0.18227441988823,3.39334018629845,12.2789371738244,0.999698753934473,0.756272451458158,0.0199522880069399,"VD_B_N",7,20560007
"M11_combined_two_process_IIW_GEE",0.189355275187888,0.189411160560898,0.90250054855464,3.37244264704755,3.38127058204628,0.187495193102768,3.34805555369088,12.2789371738244,0.999725465123669,0.763599501288307,0.0199522880069399,"VD_B_N",7,20560007
"M12_oracle_combined_IIW_GEE",0.181060720804224,0.181183685088266,0.91809034052422,3.25736164839808,3.26047581557348,0.161935148054138,2.91606943558302,10.7399725165163,0.99673164758197,0.773333364150203,0.0199522880069399,"VD_B_N",7,20560007
"M9_single_process_IIW_GEE",0.186822610178195,0.186951004554096,0.915184918375765,3.31032047924182,3.31343643275208,0.186122334243332,3.30101652386984,8.98218964216994,0.999895212744478,0.77781148730661,0.0199638514623727,"VD_B_N",8,20560008
"M10_separate_two_process_IIW_GEE",0.1673497402194,0.167677674770785,0.921779944008516,3.38706514566733,3.38854283938357,0.165302030309147,3.34708025483204,11.9022578883607,0.99965499292683,0.780139357455892,0.0199638514623727,"VD_B_N",8,20560008
"M11_combined_two_process_IIW_GEE",0.182669926261725,0.182704765719545,0.926715422337709,3.24212796200133,3.24663650529949,0.180018779322183,3.19951703352339,11.9022578883607,0.999589839587553,0.794327435248571,0.0199638514623727,"VD_B_N",8,20560008
"M12_oracle_combined_IIW_GEE",0.147521744380888,0.14762059420764,0.926563587956503,3.25715745549071,3.26007890210296,0.132939736286087,2.93783151315252,9.82753454159911,0.996945076941272,0.774273549554444,0.0199638514623727,"VD_B_N",8,20560008
"M9_single_process_IIW_GEE",0.178554493705744,0.178576339790857,0.921536302227268,3.42869600213965,3.43260880444351,0.175746437515294,3.37862551786997,22.8924540178478,0.999567031735807,0.771295128161641,0.0199499232695259,"VD_B_N",9,20560009
"M10_separate_two_process_IIW_GEE",0.161290056459228,0.161633270248348,0.939203198883671,3.58934523023117,3.59267302698985,0.158254186776353,3.52505021525208,15.4237297608247,0.999480165956659,0.758204827381862,0.0199499232695259,"VD_B_N",9,20560009
