"model","converged","n_risk_rows","expected_interaction","interaction_rule_pass","formula","scenario_id","replicate","seed"
"M10_M11_shared_numerator",TRUE,189435,"",TRUE,"shared_event ~ group + time + I(time^2)","VD_B_N",4,20560004
"M9_denominator",TRUE,719415,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VD_B_N",5,20560005
"M9_numerator",TRUE,719415,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VD_B_N",5,20560005
"M10_M11_eye_denominator",TRUE,552435,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VD_B_N",5,20560005
"M10_M11_eye_numerator",TRUE,552435,"",TRUE,"eye_event ~ group + time + I(time^2)","VD_B_N",5,20560005
"M10_M11_shared_denominator",TRUE,171915,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VD_B_N",5,20560005
"M10_M11_shared_numerator",TRUE,171915,"",TRUE,"shared_event ~ group + time + I(time^2)","VD_B_N",5,20560005
"M9_denominator",TRUE,719415,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VD_B_N",6,20560006
"M9_numerator",TRUE,719415,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VD_B_N",6,20560006
"M10_M11_eye_denominator",TRUE,552353,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VD_B_N",6,20560006
"M10_M11_eye_numerator",TRUE,552353,"",TRUE,"eye_event ~ group + time + I(time^2)","VD_B_N",6,20560006
"M10_M11_shared_denominator",TRUE,171915,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VD_B_N",6,20560006
"M10_M11_shared_numerator",TRUE,171915,"",TRUE,"shared_event ~ group + time + I(time^2)","VD_B_N",6,20560006
"M9_denominator",TRUE,698610,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VD_B_N",7,20560007
"M9_numerator",TRUE,698610,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VD_B_N",7,20560007
"M10_M11_eye_denominator",TRUE,533886,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VD_B_N",7,20560007
"M10_M11_eye_numerator",TRUE,533886,"",TRUE,"eye_event ~ group + time + I(time^2)","VD_B_N",7,20560007
"M10_M11_shared_denominator",TRUE,151110,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VD_B_N",7,20560007
"M10_M11_shared_numerator",TRUE,151110,"",TRUE,"shared_event ~ group + time + I(time^2)","VD_B_N",7,20560007
"M9_denominator",TRUE,742410,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VD_B_N",8,20560008
"M9_numerator",TRUE,742410,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VD_B_N",8,20560008
