"method","estimate","std_error","ci_lower","ci_upper","p_value","converged","runtime_seconds","n_records","failure_reason","warning","scenario_id","mechanism","structure","true_beta3","replicate","seed","absolute_error","z_value","reject_005","ci_covers_truth","ci_width","error","squared_error"
"M12_oracle_combined_IIW_GEE",-0.0436243072794056,0.0244898394351561,-0.0916243925723116,0.00437577801350034,0.0748597456926093,TRUE,0.579999999999998,25022,"","","VD_B_N","VD","B",0,8,20560008,0.0436243072794056,-1.78132271528009,FALSE,TRUE,0.0960001705858119,-0.0436243072794056,0.001903080185608
"M8_patient_clustered_GEE",-0.068259159974509,0.0305903146907759,-0.12821617676843,-0.00830214318058829,0.0256547924682911,TRUE,0.610000000000014,25433,"","","VD_B_N","VD","B",0,9,20560009,0.068259159974509,-2.23139776967027,TRUE,FALSE,0.119914033587841,-0.068259159974509,0.00465931292042562
"M9_single_process_IIW_GEE",-0.00418814867503577,0.027235757132638,-0.0575702326550063,0.0491939353049348,0.877788011462863,TRUE,0.629999999999995,25433,"","","VD_B_N","VD","B",0,9,20560009,0.00418814867503577,-0.153773902984944,FALSE,TRUE,0.106764167959941,-0.00418814867503577,1.75405893242039e-05
"M10_separate_two_process_IIW_GEE",-0.00544030641291689,0.0274476741456078,-0.0592377477383083,0.0483571349124745,0.842883530975583,TRUE,0.530000000000001,25433,"","","VD_B_N","VD","B",0,9,20560009,0.00544030641291689,-0.198206463107091,FALSE,TRUE,0.107594882650783,-0.00544030641291689,2.95969338664246e-05
"M11_combined_two_process_IIW_GEE",-0.00726887841553713,0.027275867444985,-0.0607295786077077,0.0461918217766335,0.789858119164148,TRUE,0.609999999999985,25433,"","","VD_B_N","VD","B",0,9,20560009,0.00726887841553713,-0.266494857778523,FALSE,TRUE,0.106921400384341,-0.00726887841553713,5.28365934198616e-05
"M12_oracle_combined_IIW_GEE",-0.00703192888020916,0.0274538201152476,-0.0608414163060945,0.0467775585456762,0.797845340885463,TRUE,0.550000000000011,25433,"","","VD_B_N","VD","B",0,9,20560009,0.00703192888020916,-0.256136626913487,FALSE,TRUE,0.107618974851771,-0.00703192888020916,4.94480237763196e-05
"M8_patient_clustered_GEE",0.0247519800079491,0.0298770398176235,-0.033807018034593,0.0833109780504912,0.407409137078886,TRUE,0.389999999999986,24618,"","","VD_B_N","VD","B",0,10,20560010,0.0247519800079491,0.828461593218103,FALSE,TRUE,0.117117996085084,0.0247519800079491,0.000612660514313911
"M9_single_process_IIW_GEE",0.0566927523785115,0.0269890736946257,0.00379416793704517,0.109591336819978,0.0356777081189782,TRUE,0.439999999999998,24618,"","","VD_B_N","VD","B",0,10,20560010,0.0566927523785115,2.10058162869816,TRUE,FALSE,0.105797168882933,0.0566927523785115,0.00321406817225122
"M10_separate_two_process_IIW_GEE",0.056691614049143,0.0263700849885128,0.00500624747165782,0.108376980626628,0.0315674212656872,TRUE,0.449999999999989,24618,"","","VD_B_N","VD","B",0,10,20560010,0.056691614049143,2.14984570864442,TRUE,FALSE,0.10337073315497,0.056691614049143,0.00321393910349699
"M11_combined_two_process_IIW_GEE",0.0581575568838862,0.0263171410084787,0.00657596050726798,0.109739153260504,0.0271139313209847,TRUE,0.419999999999987,24618,"","","VD_B_N","VD","B",0,10,20560010,0.0581575568838862,2.20987366618393,TRUE,FALSE,0.103163192753237,0.0581575568838862,0.00338230142270246
"M12_oracle_combined_IIW_GEE",0.0569767767432331,0.0263356230587623,0.00535895554805913,0.108594597938407,0.0305037465687187,TRUE,0.440000000000026,24618,"","","VD_B_N","VD","B",0,10,20560010,0.0569767767432331,2.16348694755016,TRUE,FALSE,0.103235642390348,0.0569767767432331,0.00324635308804823
"M8_patient_clustered_GEE",-0.0477736223377656,0.0357423656338191,-0.117828658980051,0.0222814143045199,0.181349799451408,TRUE,0.490000000000009,25061,"","","VD_B_N","VD","B",0,11,20560011,0.0477736223377656,-1.33661053180438,FALSE,TRUE,0.140110073284571,-0.0477736223377656,0.00228231899127145
"M9_single_process_IIW_GEE",0.00359017974121058,0.0241128310004801,-0.0436709690197304,0.0508513285021515,0.881639766691066,TRUE,0.530000000000001,25061,"","","VD_B_N","VD","B",0,11,20560011,0.00359017974121058,0.14889084326677,FALSE,TRUE,0.0945222975218819,0.00359017974121058,1.28893905741989e-05
"M10_separate_two_process_IIW_GEE",-0.00795614237132847,0.0238979645469181,-0.054796152883288,0.038883868140631,0.739193660736957,TRUE,0.629999999999995,25061,"","","VD_B_N","VD","B",0,11,20560011,0.00795614237132847,-0.332921339627416,FALSE,TRUE,0.093680021023919,-0.00795614237132847,6.33002014328482e-05
"M11_combined_two_process_IIW_GEE",-0.0113211397149586,0.0240542714940892,-0.0584675118433735,0.0358252324134563,0.637890789543104,TRUE,0.5,25061,"","","VD_B_N","VD","B",0,11,20560011,0.0113211397149586,-0.470649868475148,FALSE,TRUE,0.0942927442568298,-0.0113211397149586,0.000128168204445613
"M12_oracle_combined_IIW_GEE",-0.00347361457928485,0.0237835092019793,-0.0500892926151642,0.0431420634565945,0.883880819942547,TRUE,0.539999999999992,25061,"","","VD_B_N","VD","B",0,11,20560011,0.00347361457928485,-0.146051390052893,FALSE,TRUE,0.0932313560717587,-0.00347361457928485,1.20659982454203e-05
"M8_patient_clustered_GEE",-0.0626985314027335,0.0290751406549825,-0.119685807086499,-0.00571125571896788,0.0310500349025329,TRUE,0.310000000000002,23049,"","","VD_B_N","VD","B",0,12,20560012,0.0626985314027335,-2.1564308887355,TRUE,FALSE,0.113974551367531,-0.0626985314027335,0.00393110584005956
"M9_single_process_IIW_GEE",-0.00187413411385785,0.0262715434241754,-0.0533663592252416,0.0496180909975259,0.943129517567816,TRUE,0.359999999999985,23049,"","","VD_B_N","VD","B",0,12,20560012,0.00187413411385785,-0.0713370388484008,FALSE,TRUE,0.102984450222768,-0.00187413411385785,3.51237867672574e-06
"M10_separate_two_process_IIW_GEE",-0.00600621720849202,0.0265371885303202,-0.0580191067279197,0.0460066723109356,0.820943145593463,TRUE,0.360000000000014,23049,"","","VD_B_N","VD","B",0,12,20560012,0.00600621720849202,-0.226332084939201,FALSE,TRUE,0.104025779038855,-0.00600621720849202,3.60746451555857e-05
"M11_combined_two_process_IIW_GEE",-0.00665212240674534,0.0264799015267127,-0.0585527293991023,0.0452484845856116,0.801648648733256,TRUE,0.359999999999985,23049,"","","VD_B_N","VD","B",0,12,20560012,0.00665212240674534,-0.251214016035321,FALSE,TRUE,0.103801213984714,-0.00665212240674534,4.42507325143235e-05
"M12_oracle_combined_IIW_GEE",1.32176363811669e-05,0.026549983797405,-0.0520247506065326,0.0520511858792949,0.999602781393628,TRUE,0.390000000000015,23049,"","","VD_B_N","VD","B",0,12,20560012,1.32176363811669e-05,0.000497839715535299,FALSE,TRUE,0.104075936485828,1.32176363811669e-05,1.74705911504747e-10
