"scenario_id","method","attempted","minimum_ess_fraction","mean_ess_fraction","maximum_raw_q99","mean_raw_q99","maximum_raw_weight","mean_fraction_truncated","method_short","scenario_order","method_order"
"VS_B_N","M2",1000,0.729917320670649,0.761514604883421,3.39365392411686,3.08900570560809,17.5516979362086,0.0199856330360923,"M2",1,2
"VS_B_N","M3",1000,0.684177373610987,0.730163103264646,3.76524495526092,3.3483294631515,22.5870843130496,0.0199777908831168,"M3",1,3
"VS_B_N","M4",1000,0.689651259710076,0.740101958640125,3.77838145762276,3.26759597472286,22.5870843130496,0.0199782570792476,"M4",1,4
"VS_B_N","M5",1000,0.714994992282138,0.74238983021104,3.168931047509,2.91605595852806,20.3185701323632,0.0199816501193058,"M5",1,5
"VS_B_A","M2",1000,0.7313473735149,0.762959998750932,3.40641780835921,3.07566863089693,22.9401537457314,0.0199847877578263,"M2",2,2
"VS_B_A","M3",1000,0.681245527809297,0.731273278716958,3.81444095752723,3.33457209851834,29.1291509085446,0.0199767633443045,"M3",2,3
"VS_B_A","M4",1000,0.687067734940379,0.741039184207879,3.81185442462438,3.25523332042358,29.1291509085446,0.0199767973694418,"M4",2,4
"VS_B_A","M5",1000,0.718088749579058,0.740837417295345,3.48013272438301,3.18181167194603,30.6040930423854,0.0199806339958154,"M5",2,5
"VS_SH_N","M2",1000,0.743224044517098,0.775899329063647,3.24359825106751,2.98179399406173,19.3102763386393,0.019985956684626,"M2",3,2
"VS_SH_N","M3",1000,0.700211490303121,0.747145844300124,3.73253314133042,3.22312817777813,20.8317159126463,0.0199775655871772,"M3",3,3
"VS_SH_N","M4",1000,0.710433542770488,0.753819052247905,3.59315194299486,3.17076953971974,20.8317159126463,0.0199803294258076,"M4",3,4
"VS_SH_N","M5",1000,0.730992849988599,0.753873907425454,3.06986274646369,2.83982205859275,18.6416155861763,0.0199809545193745,"M5",3,5
"VS_SH_A","M2",1000,0.740002174746861,0.777244856079359,3.26354167309454,2.96638799750694,20.5673495769138,0.0199865679468655,"M2",4,2
"VS_SH_A","M3",1000,0.709326135158794,0.749092392890341,3.58128639899287,3.20106749012397,21.8612988937921,0.0199785458566431,"M3",4,3
"VS_SH_A","M4",1000,0.716741754070576,0.755742090503637,3.5166513205155,3.14914410647306,21.8612988937921,0.0199812570372266,"M4",4,4
"VS_SH_A","M5",1000,0.715351935940474,0.752581058012512,3.3204500281477,3.08918483495748,19.2979651890099,0.0199808697907227,"M5",4,5
"VD_B_N","M2",1000,0.737462874940061,0.782108189529354,3.6879877558672,3.26019343145552,27.0426590115741,0.0199857560689299,"M2",5,2
"VD_B_N","M3",1000,0.698307685081648,0.754220558313456,4.02875898174091,3.50119264171014,36.7820219064168,0.0199783460485191,"M3",5,3
"VD_B_N","M4",1000,0.701994774758657,0.763437801215014,3.96754313165772,3.4148199258121,36.7820219064168,0.0199777636651415,"M4",5,4
"VD_B_N","M5",1000,0.740204644000372,0.77407478490672,3.37368175059337,2.9808524739434,28.6256936296123,0.0199816468738288,"M5",5,5
"VD_B_A","M2",1000,0.747329079337614,0.802041534334645,3.64562416210121,3.11452736942463,37.0662918801015,0.0199855949310288,"M2",6,2
"VD_B_A","M3",1000,0.720371814028907,0.774357488734186,3.85381797058252,3.35292358852902,33.6955822369026,0.0199772794885165,"M3",6,3
"VD_B_A","M4",1000,0.727151000595653,0.782546079590703,3.81162155067161,3.27962881703265,27.2066800846165,0.0199767830882947,"M4",6,4
"VD_B_A","M5",1000,0.727900357499709,0.769502552364263,3.95650401848171,3.5089323200373,31.5691630799195,0.0199801303391542,"M5",6,5
"VD_SH_N","M2",1000,0.752385541781156,0.794475645301585,3.637604888365,3.15326757223814,25.6848963867209,0.0199861329346119,"M2",7,2
"VD_SH_N","M3",1000,0.715674605312481,0.768781878239633,3.91970054386386,3.37783736631071,37.7387708903441,0.0199772747307413,"M3",7,3
"VD_SH_N","M4",1000,0.723435615668631,0.774849467721547,3.87729545984776,3.32659024504423,37.7387708903441,0.0199789170621805,"M4",7,4
"VD_SH_N","M5",1000,0.74431596582124,0.784276095821078,3.3449486915041,2.88929851398277,33.8295524220022,0.019980562419553,"M5",7,5
"VD_SH_A","M2",1000,0.770437906286521,0.813734901409121,3.38821967790343,3.01502827630408,23.3272478472861,0.019986888018493,"M2",8,2
"VD_SH_A","M3",1000,0.73979478792046,0.789549822293495,3.74491159922173,3.221419949512,29.7231884030854,0.0199777783194564,"M3",8,3
"VD_SH_A","M4",1000,0.745202049931728,0.795120212977199,3.70094806088439,3.17441645810484,29.6075700196412,0.0199799938195665,"M4",8,4
"VD_SH_A","M5",1000,0.745799038497077,0.780341255903938,3.87226425874444,3.40398561292235,34.1113226683045,0.0199813113902373,"M5",8,5

