"sensitivity_id","method","minimum","q01","median","q99","maximum","raw_q01","raw_q99","raw_maximum","effective_sample_size","effective_sample_fraction","fraction_truncated"
"PRIMARY_365_1_99","M2",0.745231307424437,0.745318580632399,0.970922873203772,1.31933353155859,1.3194211063125,0.745491703720884,1.31988213413851,1.65246013598115,17786.6486679442,0.985628320289496,0.019949019173224
"PRIMARY_365_1_99","M3",0.710591280479557,0.710619052121238,0.972089309339297,1.52048390139708,1.52048390139708,0.710908695095544,1.52116308762823,2.01125096100988,17650.413949857,0.978079017502881,0.0198936052310761
"PRIMARY_365_1_99","M4",0.714910681537937,0.714910681537937,0.969353897637127,1.47885998445227,1.47885998445227,0.716360806036897,1.48185970336733,2.01125096100988,17675.8272392652,0.979487268051933,0.0198381912889283
"S1_HORIZON","M2",0.538498549730854,0.538533711196249,0.970822456768233,2.49680508796295,2.49795712852801,0.52569086576797,2.43854555635013,11.4012402514522,25030.8098659762,0.916543751958118,0.0199926766752105
"S1_HORIZON","M3",0.513774912379339,0.513779754693553,0.970919564885189,2.52528575991671,2.52750597795958,0.501880062536241,2.46898948881041,11.7391945377265,24795.1654438625,0.907915248768308,0.0199926766752105
"S1_HORIZON","M4",0.526065622694655,0.526071295260214,0.972530159200437,2.47827495052235,2.47827495052235,0.515134883117549,2.42678065605416,10.3596283845905,24972.7504672764,0.914417812789324,0.0199560600512633
"S2_TRUNCATION_MILD","M2",0.711364324152689,0.74526996747303,0.97097324135804,1.31948955336187,1.34458674288191,0.745491703720884,1.31988213413852,1.65246013598115,17782.2705881607,0.985385713629652,0.00997450958661199
"S2_TRUNCATION_MILD","M3",0.677442136385744,0.710522431883291,0.971995124417202,1.52033658298053,1.56862652617858,0.710908695095543,1.52116308762823,2.01125096100988,17641.1323345029,0.977564686606609,0.00997450958661199
"S2_TRUNCATION_MILD","M4",0.682756164044481,0.714766992061248,0.969159067768341,1.47856274925528,1.54016503530795,0.716360806036897,1.48185970336733,2.01125096100988,17665.1068798591,0.978893210676001,0.00991909564446415
"S3_UNTRUNCATED","M2",0.58583933666405,0.745214262503985,0.97090066626886,1.31939092853069,1.65184515857937,0.745491703720884,1.31988213413852,1.65246013598115,17777.058456419,0.985096888862851,0
"S3_UNTRUNCATED","M3",0.464210751644615,0.710424297319462,0.971860876273444,1.52012660007112,2.00988053819838,0.710908695095543,1.52116308762823,2.01125096100988,17629.9222083927,0.976943489326871,0
"S3_UNTRUNCATED","M4",0.463423191746825,0.714658174639544,0.969011521236189,1.47833765018385,2.00647066174544,0.716360806036897,1.48185970336733,2.01125096100988,17653.3896920118,0.978243915106493,0

