"scenario_id","mechanism","structure","true_beta3","replicate","seed","variant","estimate","std_error","ci_lower","ci_upper","p_value","converged"
"VD_B_N","VD","B",0,1,20560001,"frozen_trunc_1_99",-0.0126463766855569,0.0267366890851402,-0.0650502872924317,0.0397575339213179,0.636215240561719,TRUE
"VD_B_N","VD","B",0,1,20560001,"mild_trunc_0.5_99.5",-0.0105751466755341,0.0271578239167155,-0.0638044815522965,0.0426541882012283,0.696983266673787,TRUE
"VD_B_N","VD","B",0,1,20560001,"untruncated",-0.00261946925753361,0.0283066023409789,-0.0581004098458523,0.0528614713307851,0.926269677976129,TRUE
"VD_B_N","VD","B",0,2,20560002,"frozen_trunc_1_99",-0.0181179725045109,0.0288876276635512,-0.0747377227250713,0.0385017777160495,0.530536029033043,TRUE
"VD_B_N","VD","B",0,2,20560002,"mild_trunc_0.5_99.5",-0.0180723853311019,0.0293493932447616,-0.0755971960908347,0.0394524254286309,0.538048366434014,TRUE
"VD_B_N","VD","B",0,2,20560002,"untruncated",-0.0211653109963278,0.0303017652769618,-0.0805567709391728,0.0382261489465173,0.484874296892882,TRUE
"VD_B_N","VD","B",0,3,20560003,"frozen_trunc_1_99",0.0474814567498954,0.0263767242861851,-0.00421692285102746,0.0991798363508182,0.0718405680808731,TRUE
"VD_B_N","VD","B",0,3,20560003,"mild_trunc_0.5_99.5",0.0504263727888992,0.0266911300949773,-0.00188824219725643,0.102740987775055,0.0588575587827585,TRUE
"VD_B_N","VD","B",0,3,20560003,"untruncated",0.0550460193945343,0.0270389731624867,0.00204963199606045,0.108042406793008,0.0417701532888223,TRUE
"VD_B_N","VD","B",0,4,20560004,"frozen_trunc_1_99",-0.0305254090466648,0.0245722061150672,-0.0786869330321965,0.0176361149388669,0.214135540876272,TRUE
"VD_B_N","VD","B",0,4,20560004,"mild_trunc_0.5_99.5",-0.0251870239512557,0.0248698045864817,-0.0739318409407598,0.0235577930382485,0.311177103645205,TRUE
"VD_B_N","VD","B",0,4,20560004,"untruncated",-0.018044190143397,0.0257491052866463,-0.0685124365052237,0.0324240562184297,0.483446814341165,TRUE
"VD_B_N","VD","B",0,5,20560005,"frozen_trunc_1_99",0.00253829422575523,0.0270460056071919,-0.0504718767643409,0.0555484652158514,0.925227531404776,TRUE
"VD_B_N","VD","B",0,5,20560005,"mild_trunc_0.5_99.5",0.00522526986426553,0.0273185688315043,-0.0483191250454829,0.058769664774014,0.848312710012562,TRUE
