"scenario_id","variant","attempted","mean_ess_fraction","minimum_ess_fraction","mean_raw_q99","maximum_raw_weight","mean_fraction_truncated"
"VD_B_A","frozen_trunc_1_99",50,0.765678189360246,0.727900357499709,3.55540513291644,25.7625231863611,0.0199778241429651
"VD_B_A","mild_trunc_0.5_99.5",50,0.749000414734383,0.710201737469599,3.55540513291644,25.7625231863611,0.00997909365560668
"VD_B_A","untruncated",50,0.715298716884196,0.66667895108357,3.55540513291644,25.7625231863611,0
"VD_B_N","frozen_trunc_1_99",50,0.771814616465233,0.740204644000372,3.01646639138361,23.2201882922344,0.019981676775251
"VD_B_N","mild_trunc_0.5_99.5",50,0.757307300180338,0.7254398480823,3.01646639138361,23.2201882922344,0.0099813349382126
"VD_B_N","untruncated",50,0.727786361357537,0.689851217702622,3.01646639138361,23.2201882922344,0
"VD_SH_A","frozen_trunc_1_99",50,0.779654405308984,0.750674754111082,3.39079353558324,22.5819070868543,0.0199828573436921
"VD_SH_A","mild_trunc_0.5_99.5",50,0.763902994028257,0.734914202614558,3.39079353558324,22.5819070868543,0.00997855074607807
"VD_SH_A","untruncated",50,0.732336830330139,0.698929675396686,3.39079353558324,22.5819070868543,0
"VD_SH_N","frozen_trunc_1_99",50,0.781925626354243,0.757916524862301,2.90177978529096,22.6177733191075,0.019975079403661
"VD_SH_N","mild_trunc_0.5_99.5",50,0.768494570764445,0.744158026562869,2.90177978529096,22.6177733191075,0.00998068820040349
"VD_SH_N","untruncated",50,0.739714381269982,0.706209855296581,2.90177978529096,22.6177733191075,0
"VS_B_A","frozen_trunc_1_99",50,0.741520203231652,0.727094949746429,3.18272002364729,15.5193421246007,0.0199785106388878
"VS_B_A","mild_trunc_0.5_99.5",50,0.732298710663666,0.717886888041992,3.18272002364729,15.5193421246007,0.00997973189523597
"VS_B_A","untruncated",50,0.716549897150406,0.700340165269562,3.18272002364729,15.5193421246007,0
"VS_B_N","frozen_trunc_1_99",50,0.741610353629003,0.72714692997444,2.92133606777071,13.579737606941,0.0199757943209422
"VS_B_N","mild_trunc_0.5_99.5",50,0.73283416960242,0.719540138880452,2.92133606777071,13.579737606941,0.00998794302342156
"VS_B_N","untruncated",50,0.717420206089247,0.702389338081645,2.92133606777071,13.579737606941,0
"VS_SH_A","frozen_trunc_1_99",50,0.751992288216998,0.73426791487907,3.08258786258243,19.2979651890099,0.0199836061349364
"VS_SH_A","mild_trunc_0.5_99.5",50,0.743358218848196,0.724759497934377,3.08258786258243,19.2979651890099,0.00998374247131301
"VS_SH_A","untruncated",50,0.72800908196994,0.708363579954616,3.08258786258243,19.2979651890099,0
"VS_SH_N","frozen_trunc_1_99",50,0.753734004312532,0.737770106256314,2.85200175760691,11.9397496552497,0.0199795325422373
"VS_SH_N","mild_trunc_0.5_99.5",50,0.744959244263507,0.7288749789563,2.85200175760691,11.9397496552497,0.00998626385027038
"VS_SH_N","untruncated",50,0.730133506220195,0.714979846382597,2.85200175760691,11.9397496552497,0
