"sensitivity_id","method","estimand","day","estimate","std_error","ci_lower","ci_upper","observed_mean_baseline_va"
"S1_HORIZON","M8","marginal_VA_day_90",90,65.5431634128557,0.177744530321049,65.1947841334264,65.8915426922849,60.9785768936496
"S1_HORIZON","M8","marginal_VA_day_180",180,66.6024812594684,0.224586532343211,66.1622916560757,67.0426708628611,60.9785768936496
"S1_HORIZON","M8","marginal_VA_day_365",365,65.9281659631844,0.265540725029507,65.4077061421265,66.4486257842422,60.9785768936496
"S1_HORIZON","M8","S1_HORIZON_change_baseline_to_day365",365,4.94958906953479,0.265540725029507,4.42912924847695,5.47004889059263,60.9785768936496
"S1_HORIZON","M9","marginal_VA_day_90",90,65.5691144219469,0.17744211748871,65.221327871669,65.9169009722248,60.9785768936496
"S1_HORIZON","M9","marginal_VA_day_180",180,66.5621994812055,0.222159027630192,66.1267677870503,66.9976311753606,60.9785768936496
"S1_HORIZON","M9","marginal_VA_day_365",365,65.7094992597952,0.263918800504381,65.1922184108066,66.2267801087838,60.9785768936496
"S1_HORIZON","M9","S1_HORIZON_change_baseline_to_day365",365,4.73092236614563,0.263918800504381,4.21364151715704,5.24820321513422,60.9785768936496
"S1_HORIZON","M10","marginal_VA_day_90",90,65.5976038713428,0.174837326960695,65.2549227104998,65.9402850321857,60.9785768936496
"S1_HORIZON","M10","marginal_VA_day_180",180,66.6063886726731,0.219544441592995,66.1760815671508,67.0366957781953,60.9785768936496
"S1_HORIZON","M10","marginal_VA_day_365",365,65.7369305843887,0.264628681764076,65.2182583681311,66.2556028006463,60.9785768936496
"S1_HORIZON","M10","S1_HORIZON_change_baseline_to_day365",365,4.75835369073915,0.264628681764076,4.23968147448156,5.27702590699673,60.9785768936496
"S1_HORIZON","M11","marginal_VA_day_90",90,65.5956598678296,0.175000985409997,65.252657936426,65.9386617992332,60.9785768936496
"S1_HORIZON","M11","marginal_VA_day_180",180,66.6133856641158,0.219584053438959,66.1830009193754,67.0437704088561,60.9785768936496
"S1_HORIZON","M11","marginal_VA_day_365",365,65.7851928644259,0.263306125763787,65.2691128579289,66.3012728709229,60.9785768936496
"S1_HORIZON","M11","S1_HORIZON_change_baseline_to_day365",365,4.80661597077634,0.263306125763787,4.29053596427932,5.32269597727336,60.9785768936496
"S2_TRUNCATION_MILD","M9","marginal_VA_day_90",90,65.9440229601913,0.200121956780302,65.5517839249019,66.3362619954807,60.9800918836141
"S2_TRUNCATION_MILD","M9","marginal_VA_day_180",180,66.419324416084,0.240517490731443,65.9479101342503,66.8907386979176,60.9800918836141
"S2_TRUNCATION_MILD","M9","marginal_VA_day_365",365,66.089468177158,0.37838852717208,65.3478266639007,66.8311096904153,60.9800918836141
"S2_TRUNCATION_MILD","M9","S2_TRUNCATION_MILD_change_baseline_to_day365",365,5.10937629354394,0.37838852717208,4.36773478028666,5.85101780680122,60.9800918836141
"S2_TRUNCATION_MILD","M10","marginal_VA_day_90",90,65.9802273608037,0.199861705210524,65.5884984185911,66.3719563030163,60.9800918836141
"S2_TRUNCATION_MILD","M10","marginal_VA_day_180",180,66.4374295870843,0.242146161771065,65.962823110013,66.9120360641556,60.9800918836141
"S2_TRUNCATION_MILD","M10","marginal_VA_day_365",365,66.1253317442013,0.381243255001821,65.3780949643977,66.8725685240048,60.9800918836141
"S2_TRUNCATION_MILD","M10","S2_TRUNCATION_MILD_change_baseline_to_day365",365,5.14523986058719,0.381243255001821,4.39800308078362,5.89247664039076,60.9800918836141
"S2_TRUNCATION_MILD","M11","marginal_VA_day_90",90,65.9776064993974,0.200040779961339,65.5855265706732,66.3696864281217,60.9800918836141
"S2_TRUNCATION_MILD","M11","marginal_VA_day_180",180,66.4356346784994,0.24286799051594,65.9596134170881,66.9116559399106,60.9800918836141
"S2_TRUNCATION_MILD","M11","marginal_VA_day_365",365,66.1161635457126,0.38039894806474,65.3705816075058,66.8617454839195,60.9800918836141
"S2_TRUNCATION_MILD","M11","S2_TRUNCATION_MILD_change_baseline_to_day365",365,5.13607166209855,0.38039894806474,4.39048972389167,5.88165360030543,60.9800918836141
"S3_UNTRUNCATED","M9","marginal_VA_day_90",90,65.9446762052681,0.200095501225184,65.5524890228667,66.3368633876694,60.9800918836141
"S3_UNTRUNCATED","M9","marginal_VA_day_180",180,66.4182888583498,0.240615075686266,65.9466833100047,66.8898944066949,60.9800918836141
"S3_UNTRUNCATED","M9","marginal_VA_day_365",365,66.0972172722656,0.378570958559023,65.3552181934899,66.8392163510413,60.9800918836141
"S3_UNTRUNCATED","M9","S3_UNTRUNCATED_change_baseline_to_day365",365,5.11712538865152,0.378570958559023,4.37512630987583,5.85912446742721,60.9800918836141
"S3_UNTRUNCATED","M10","marginal_VA_day_90",90,65.9800629493919,0.199839782377194,65.5883769759326,66.3717489228512,60.9800918836141
"S3_UNTRUNCATED","M10","marginal_VA_day_180",180,66.4373773192335,0.24229368422535,65.9624816981518,66.9122729403152,60.9800918836141
"S3_UNTRUNCATED","M10","marginal_VA_day_365",365,66.1313623704605,0.381720208938182,65.3831907609416,66.8795339799793,60.9800918836141
"S3_UNTRUNCATED","M10","S3_UNTRUNCATED_change_baseline_to_day365",365,5.15127048684639,0.381720208938182,4.40309887732756,5.89944209636523,60.9800918836141
"S3_UNTRUNCATED","M11","marginal_VA_day_90",90,65.9774455983303,0.200045170176117,65.5853570647851,66.3695341318755,60.9800918836141
"S3_UNTRUNCATED","M11","marginal_VA_day_180",180,66.4353265022554,0.243092299761077,65.9588655947237,66.9117874097872,60.9800918836141
"S3_UNTRUNCATED","M11","marginal_VA_day_365",365,66.1213553048376,0.381014182058879,65.3745675080022,66.868143101673,60.9800918836141
"S3_UNTRUNCATED","M11","S3_UNTRUNCATED_change_baseline_to_day365",365,5.14126342122353,0.381014182058879,4.39447562438813,5.88805121805894,60.9800918836141
